epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.9061,0.96186,1.9228,1.19506,0.40514,0.771,0.49992,0.36354,0.89072,2.19901,1.3626,0.000464425,0.000464425,0.000464425
2,135.402,0.81054,0.82541,1.05629,0.54032,0.57321,0.58793,0.38289,1.15,2.48378,1.61435,0.000925236,0.000925236,0.000925236
3,201.1,0.82342,0.76579,1.06507,0.75994,0.73115,0.79247,0.54219,0.95438,1.35834,1.37965,0.00137033,0.00137033,0.00137033
4,260.577,0.84194,0.7427,1.0641,0.73092,0.89444,0.94234,0.71554,0.82936,1.03799,1.23752,0.00135826,0.00135826,0.00135826
5,320.155,0.8056,0.68695,1.03767,0.59311,0.81179,0.81881,0.53857,1.13612,1.18137,1.60806,0.00133469,0.00133469,0.00133469
6,386.419,0.80281,0.63283,1.04428,0.91059,0.80149,0.9115,0.72853,0.86216,0.772,1.12862,0.00131111,0.00131111,0.00131111
7,449.035,0.77978,0.67594,1.03747,0.84806,0.94101,0.9706,0.78776,0.7102,0.72978,1.03562,0.00128753,0.00128753,0.00128753
8,515.115,0.78395,0.62058,1.03799,0.85341,0.94479,0.97618,0.81028,0.67453,0.53461,1.03208,0.00126395,0.00126395,0.00126395
9,574.45,0.76217,0.61529,1.01762,0.86221,0.72705,0.85472,0.65797,0.8151,0.83114,1.16478,0.00124037,0.00124037,0.00124037
10,639.699,0.75147,0.59473,1.03193,0.98506,0.94382,0.9845,0.79546,0.74364,0.4994,1.10744,0.00121679,0.00121679,0.00121679
11,704.31,0.74178,0.5366,1.00871,0.92306,0.90589,0.93697,0.68418,0.87289,0.64724,1.12544,0.00119322,0.00119322,0.00119322
12,766.349,0.7254,0.53407,1.015,0.90207,0.96159,0.97976,0.80647,0.68487,0.55503,1.02234,0.00116964,0.00116964,0.00116964
13,831.36,0.72716,0.55198,1.01498,0.95108,0.94928,0.98203,0.80101,0.67758,0.40835,1.02496,0.00114606,0.00114606,0.00114606
14,895.503,0.72066,0.51167,1.00234,0.98068,0.95161,0.99203,0.82941,0.64198,0.38905,0.99674,0.00112248,0.00112248,0.00112248
15,959.434,0.71625,0.5174,1.00544,0.94092,0.82757,0.97506,0.80419,0.71231,0.56208,1.01427,0.0010989,0.0010989,0.0010989
16,1024.8,0.70264,0.52815,1.00439,0.9339,0.97392,0.98186,0.82494,0.66273,0.4227,1.00465,0.00107532,0.00107532,0.00107532
17,1085.18,0.70442,0.51801,1.00517,0.92879,0.95083,0.98902,0.8435,0.62621,0.38763,0.9668,0.00105174,0.00105174,0.00105174
18,1148.26,0.68461,0.48708,0.98392,0.96928,0.9884,0.99288,0.84796,0.63621,0.36302,0.99008,0.00102817,0.00102817,0.00102817
19,1207.01,0.68948,0.459,0.98355,0.99503,0.96475,0.99377,0.84419,0.63209,0.33279,0.9811,0.00100459,0.00100459,0.00100459
20,1267.93,0.70199,0.48385,0.99114,0.98057,0.99424,0.99487,0.83976,0.66426,0.3184,0.9746,0.000981008,0.000981008,0.000981008
